Config
Target,http://127.0.0.1:5000
Attack Type,http
Requests/sec,10
Duration,30
Nodes,2

"Traffic Data (time, rps)"
1757329118.0690475,1
1757329118.082593,1
1757329118.2424178,2
1757329118.2564604,2
1757329118.4069405,3
1757329118.4171565,3
1757329118.5701354,4
1757329118.596668,4
1757329118.7323265,5
1757329118.741654,5
1757329118.8844972,6
1757329118.9118245,6
1757329119.0374432,7
1757329119.060399,7
1757329119.1866987,8
1757329119.210696,8
1757329119.3436763,9
1757329119.385063,9
1757329119.4955065,10
1757329119.5393722,10
1757329119.65072,11
1757329119.6855927,11
1757329119.7945836,12
1757329119.8288927,12
1757329119.954455,13
1757329119.9745853,13
1757329120.1118267,14
1757329120.1582005,14
1757329120.269467,15
1757329120.311713,15
1757329120.40385,16
1757329120.500793,16
1757329120.5603433,17
1757329120.6673238,17
1757329120.7115693,18
1757329120.8039682,18
1757329120.8456943,19
1757329120.9560454,19
1757329120.9826703,20
1757329121.119152,20
1757329121.1293774,21
1757329121.286546,21
1757329121.2968006,22
1757329121.448421,22
1757329121.4607027,23
1757329121.6018984,23
1757329121.6141527,24
1757329121.762038,24
1757329121.7736359,25
1757329121.925828,25
1757329121.9351282,26

"Resource Data (time, usage%)"
1757329113.8771718,0.0
1757329115.1303775,30.7
1757329116.16086,29.2
1757329117.1894138,16.7
1757329118.2159781,19.8
1757329119.2530658,47.4
1757329120.302784,61.0
1757329121.3469794,46.5
1757329122.3797414,40.4
1757329123.4128942,48.9
1757329124.4429183,9.8
1757329125.4784925,9.3
1757329126.5088565,12.6
